,munid_cur,tier_cur_x,regionShort,munname_cur,"Population, 2021 (UT Roll Up)","Land area in acres, 2021 (UT Roll Up)",Farm Property Count,Farm Acres,2023 FAM
75,4110,LT,Southwest,Saugeen Shores T,15908,42054.79995,291,25893.09893,0.6157
76,4103,LT,Southwest,Arran-Elderslie M,6913,113361.8898,1048,99193.37655,0.875
77,4104,LT,Southwest,Brockton M,9784,139525.3672,1184,109344.5658,0.7837
78,4109,LT,Southwest,Northern Bruce Peninsula M,4404,191679.3485,341,35786.07926,0.1867
79,4107,LT,Southwest,Huron-Kinloss Tp,7723,108906.5867,951,91537.84299,0.8405
80,4108,LT,Southwest,Kincardine M,12268,132893.069,1099,101236.8254,0.7618
81,4105,LT,Southwest,South Bruce M,5880,120305.5403,1129,105702.366,0.8786
82,2200,UT,Central,Dufferin Co,66257,367388.3009,2678,216832.3232,0.5902
83,2214,LT,Central,Orangeville T,30167,3746.1118,1,59.87148628,0.016
84,2221,LT,Central,Shelburne T,8994,1621.0088,3,31.13935364,0.0192
85,2212,LT,Central,Mono T,9421,68786.61885,422,27157.87928,0.3948
86,2208,LT,Central,Amaranth Tp,4327,65487.7671,507,44214.91029,0.6752
87,2201,LT,Central,East Garafraxa Tp,2794,41142.9825,378,29973.07814,0.7285
88,2219,LT,Central,Melancthon Tp,3132,76698.92095,589,54135.44665,0.7058
89,2216,LT,Central,Mulmur Tp,3571,70714.03785,492,32562.78546,0.4605
90,2204,LT,Central,Grand Valley T,3851,39190.853,286,28697.21254,0.7322
91,3400,UT,Southwest,Elgin Co,51912,455404.6308,4925,387422.4684,0.8507
92,3421,ST,Southwest,St. Thomas C,42840,8799.40905,25,1337.160387,0.152
93,3411,LT,Southwest,Aylmer T,7699,1574.05885,5,136.8444522,0.0869
94,3424,LT,Southwest,Southwold Tp,4851,74472.5049,730,63353.04163,0.8507
95,3401,LT,Southwest,Bayham M,7096,60441.883,679,50236.66984,0.8312
96,3418,LT,Southwest,Central Elgin M,13746,69157.27635,691,55154.45151,0.7975
97,3429,LT,Southwest,Dutton-Dunwich M,4152,72742.7699,778,64353.41855,0.8847
98,3408,LT,Southwest,Malahide Tp,9308,97426.08835,1120,85816.61518,0.8808
99,3434,LT,Southwest,West Elgin M,5060,79590.04945,922,68371.42728,0.859
100,3700,UT,Southwest,Essex Co,192970,409492.5218,6600,302236.9163,0.7381
101,3739,ST,Southwest,Windsor C,229660,36082.2721,109,3543.51679,0.0982
102,3734,LT,Southwest,LaSalle T,32721,16051.9408,379,5568.879978,0.3469
103,3729,LT,Southwest,Amherstburg T,23524,45408.0148,663,30015.19808,0.661
104,3754,LT,Southwest,Essex T,21216,68579.05065,1041,52813.16774,0.7701
105,3711,LT,Southwest,Kingsville T,22119,60807.5984,998,47393.7711,0.7794
106,3751,LT,Southwest,Lakeshore T,40410,130718.545,1949,105257.8585,0.8052
107,3706,LT,Southwest,Leamington M,29680,64553.7102,1199,45738.35338,0.7085
108,3744,LT,Southwest,Tecumseh T,23300,23373.66195,371,15449.6875,0.661
109,3701,ST,Southwest,Pelee Tp,230,10138.71815,104,5523.376772,0.5448
110,1000,UT,East,Frontenac Co,29295,809083.5462,1326,129643.9272,0.1602
111,1011,ST,East,Kingston C,132485,111587.6759,538,42362.89311,0.3796
112,1039,LT,East,Central Frontenac Tp,4892,244982.3681,197,31261.16126,0.1276
113,1001,LT,East,Frontenac Islands Tp,1930,43693.1061,351,28560.47711,0.6537
114,1042,LT,East,North Frontenac Tp,2285,286140.1769,26,5628.42743,0.0197
115,1029,LT,East,South Frontenac Tp,20188,234267.8952,752,64193.86138,0.274
116,4200,UT,Southwest,Grey Co,100905,1111460.993,7676,658486.4431,0.5925
117,4259,LT,Southwest,Owen Sound C,21612,5982.41205,26,1093.305684,0.1828
118,4229,LT,Southwest,Hanover T,7967,2416.6869,14,348.5467358,0.1442
119,4242,LT,Southwest,The Blue Mountains T,9390,70338.43825,454,28081.13701,0.3992
120,4210,LT,Southwest,Meaford M,11485,145191.4849,962,79123.22548,0.545
121,4204,LT,Southwest,Chatsworth Tp,7080,146889.0962,964,86796.56543,0.5909
122,4207,LT,Southwest,Southgate Tp,8716,158908.2834,1335,121431.2625,0.7642
