,munid_cur,tier_cur_x,regionShort,munname_cur,"Population, 2021 (UT Roll Up)","Land area in acres, 2021 (UT Roll Up)",Farm Property Count,Farm Acres,2023 FAM
326,5666,ST,Northeast,Kapuskasing T,8057,20751.8779,20,2465.166306,0.1188
327,5648,ST,Northeast,Smooth Rock Falls T,1200,49354.28165,2,204.4517776,0.0041
328,5639,ST,Northeast,Cochrane T,5390,132917.7795,68,8851.759839,0.0666
329,5614,ST,Northeast,Black River-Matheson Tp,2572,287108.8285,258,30028.38135,0.1046
330,5656,ST,Northeast,Moonbeam Tp,1157,57936.2383,4,247.3626546,0.0043
331,5652,ST,Northeast,Fauquier-Strickland Tp,467,249687.2473,0,0,0
332,5670,ST,Northeast,Val Rita-Harty Tp,757,93625.61345,15,1432.038211,0.0153
333,5677,ST,Northeast,Mattice-Val Cote Tp,542,102007.4151,0,0,0
334,5673,ST,Northeast,Opasatika Tp,200,80825.57445,2,245.5987826,0.003
335,6026,ST,Northwest,Dryden C,7388,16205.1459,1,89.14892731,0.0055
336,6016,ST,Northwest,Kenora C,14967,52299.77325,29,2727.947772,0.0522
337,6034,ST,Northwest,Sioux Lookout M,5839,93410.6321,0,0,0
338,6041,ST,Northwest,Red Lake M,4094,148987.0177,0,0,0
339,6001,ST,Northwest,Ignace Tp,1206,17823.68365,0,0,0
340,6021,ST,Northwest,Machin M,1012,71695.0447,20,2388.794959,0.0333
341,6042,ST,Northwest,Ear Falls Tp,924,83197.78245,0,0,0
342,6049,ST,Northwest,Pickle Lake Tp,398,61086.82705,0,0,0
343,6008,ST,Northwest,Sioux Narrows-Nestor Falls Tp,727,300430.259,0,0,0
344,5126,ST,Northeast,Gore Bay T,808,1270.1197,5,157.7336769,0.1242
345,5119,ST,Northeast,Northeastern Manitoulin and The Islands M,2641,120881.295,294,26169.78133,0.2165
346,5111,ST,Northeast,Assiginack Tp,1008,55571.44345,263,25161.4483,0.4528
347,5121,ST,Northeast,Billings Tp,753,51597.99505,168,15091.81623,0.2925
348,5128,ST,Northeast,Burpee and Mills Tp,382,53703.32965,152,14007.0908,0.2608
349,5134,ST,Northeast,Cockburn Island Tp,16,41736.0345,0,0,0
350,5101,ST,Northeast,Tehkummah Tp,450,32543.7285,120,10697.99894,0.3287
351,5104,ST,Northeast,Central Manitoulin M,2235,105664.5691,400,36731.03854,0.3476
352,5124,ST,Northeast,Gordon-Barrie Island M,613,65097.3412,339,32685.67606,0.5021
353,4844,ST,Northeast,North Bay C,52662,77969.04065,7,1004.286019,0.0129
354,4821,ST,Northeast,Mattawa T,1881,906.87535,0,0,0
355,4869,ST,Northeast,Temagami M,862,464092.8426,0,0,0
356,4852,ST,Northeast,West Nipissing M,14583,483404.0984,534,53728.68516,0.1111
357,4801,ST,Northeast,South Algonquin Tp,1055,214420.4217,7,617.3739692,0.0029
358,4826,ST,Northeast,Bonfield Tp,2146,50957.9931,72,6249.799538,0.1226
359,4822,ST,Northeast,Calvin M,557,34626.82365,36,3852.556363,0.1113
360,4831,ST,Northeast,Chisholm Tp,1312,50846.79585,116,9442.023142,0.1857
361,4834,ST,Northeast,East Ferris M,4946,37545.1337,12,1166.979175,0.0311
362,4819,ST,Northeast,Mattawan Tp,153,49450.6526,0,0,0
363,4816,ST,Northeast,Papineau-Cameron Tp,982,139424.0542,23,2687.1602,0.0193
364,4918,ST,Northeast,Kearney T,974,130523.3321,12,701.8618615,0.0054
365,4932,ST,Northeast,Parry Sound T,6879,3237.0755,3,125.3891064,0.0387
366,4959,ST,Northeast,Powassan M,3346,55168.6623,137,10432.54597,0.1891
367,4922,ST,Northeast,Burk's Falls V,957,763.55445,0,0,0
368,4956,ST,Northeast,South River V,1101,1015.60155,0,0,0
369,4948,ST,Northeast,Sundridge V,938,555.98625,0,0,0
370,4919,ST,Northeast,Armour Tp,1459,40406.6096,14,1113.220444,0.0276
371,4936,ST,Northeast,Carling Tp,1491,60372.6936,2,232.304741,0.0038
372,4939,ST,Northeast,Whitestone M,1075,228250.8885,54,5035.826693,0.0221
373,4966,ST,Northeast,Callander M,3964,25446.8729,18,1402.994072,0.0551
374,4951,ST,Northeast,Joly Tp,293,47926.01475,3,259.746898,0.0054
375,4954,ST,Northeast,Machar Tp,969,45133.72825,13,1077.962368,0.0239
376,4931,ST,Northeast,McDougall M,2744,65240.6621,17,1318.631346,0.0202
377,4928,ST,Northeast,McKellar Tp,1419,43507.77735,56,2379.731326,0.0547
378,4912,ST,Northeast,McMurrich-Monteith Tp,907,68018.1223,0,0,0
379,4971,ST,Northeast,Nipissing Tp,1769,95864.38475,88,7384.015557,0.077
380,4914,ST,Northeast,Perry Tp,2650,46045.5457,3,299.3756369,0.0065
381,4924,ST,Northeast,Ryerson Tp,745,45944.23265,43,3408.084978,0.0742
382,4946,ST,Northeast,Strong Tp,1566,39260.0424,39,3473.334133,0.0885
383,4905,ST,Northeast,The Archipelago Tp,979,146320.7547,2,178.3565043,0.0012
384,4944,ST,Northeast,Magnetawan M,1753,130053.8325,74,6559.34446,0.0504
385,4903,ST,Northeast,Seguin Tp,5280,145048.164,29,2126.718052,0.0147
386,5912,ST,Northwest,Fort Frances T,7466,6313.53275,3,243.7989626,0.0386
387,5942,ST,Northwest,Rainy River T,752,770.9676,2,32.55264792,0.0422
388,5911,ST,Northwest,Alberton Tp,954,28812.443,57,6072.007589,0.2107
389,5901,ST,Northwest,Atikokan T,2642,77502.0122,0,0,0
390,5924,ST,Northwest,Chapple Tp,763,137921.6557,216,32584.29921,0.2363
391,5919,ST,Northwest,Emo Tp,1204,49984.3994,122,17708.62863,0.3543
392,5916,ST,Northwest,La Vallee Tp,788,58593.5376,149,19754.73553,0.3371
393,5931,ST,Northwest,Morley Tp,493,95970.6399,182,27295.23101,0.2844
394,5934,ST,Northwest,Dawson Tp,399,84860.7991,167,24414.77312,0.2877
395,5946,ST,Northwest,Lake of the Woods Tp,308,184399.6352,51,7246.936408,0.0393
396,5226,ST,Northeast,Espanola T,5185,20015.505,2,373.8181232,0.0187
397,5201,ST,Northeast,French River M,2828,177399.1506,104,12729.93136,0.0718
398,5136,ST,Northeast,Killarney M,397,363096.087,0,0,0
399,5208,ST,Northeast,Markstay-Warren M,2708,125015.3616,75,10735.20072,0.0859
400,5204,ST,Northeast,St. Charles M,1357,77704.6383,74,9542.904411,0.1228
401,5228,ST,Northeast,Baldwin Tp,579,20383.69145,4,222.3184275,0.0109
402,5292,ST,Northeast,Chapleau Tp,1942,3261.786,1,55.43613901,0.017
403,5231,ST,Northeast,Nairn and Hyman Tp,373,39334.1739,0,0,0
404,5218,ST,Northeast,Sables-Spanish Rivers Tp,3237,197940.9892,159,20624.08588,0.1042
405,5804,ST,Northwest,Thunder Bay C,108843,80993.60585,16,1379.660956,0.017
406,5859,ST,Northwest,Marathon T,3138,41273.94815,0,0,0
407,5876,ST,Northwest,Greenstone M,4309,673865.2192,0,0,0
408,5819,ST,Northwest,Conmee Tp,798,41427.15325,14,1348.917298,0.0326
409,5834,ST,Northwest,Dorion Tp,375,52200.93125,16,1818.966321,0.0348
410,5812,ST,Northwest,Gillies Tp,441,22901.6914,25,3221.511004,0.1407
411,5801,ST,Northwest,Neebing M,2241,215915.4069,56,6491.010128,0.0301
412,5844,ST,Northwest,Nipigon Tp,1473,26672.5137,0,0,0
413,5816,ST,Northwest,O'Connor Tp,689,26825.7188,24,3501.991517,0.1305
414,5851,ST,Northwest,Schreiber Tp,1039,8848.83005,0,0,0
415,5828,ST,Northwest,Shuniah M,3247,141180.9707,0,0,0
416,5854,ST,Northwest,Terrace Bay Tp,1528,37436.4075,0,0,0
417,5866,ST,Northwest,Manitouwadge Tp,1974,87022.96785,0,0,0
418,5841,ST,Northwest,Red Rock Tp,895,15345.2205,0,0,0
419,5808,ST,Northwest,Oliver Paipoonge M,6035,86612.77355,283,24301.87833,0.2806
420,5418,ST,Northeast,Temiskaming Shores C,9634,43656.04035,143,14927.85913,0.3419
421,5408,ST,Northeast,Cobalt T,989,511.50735,0,0,0
422,5452,ST,Northeast,Englehart T,1442,721.5466,0,0,0
423,5468,ST,Northeast,Kirkland Lake T,7750,64566.06545,0,0,0
424,5406,ST,Northeast,Latchford T,355,37624.2073,0,0,0
425,5438,ST,Northeast,Thornloe V,92,1628.42195,12,1361.563099,0.8361
426,5436,ST,Northeast,Armstrong Tp,1199,22278.9868,148,17560.83722,0.7882
427,5432,ST,Northeast,Brethour Tp,105,20255.19685,73,9252.074695,0.4568
428,5429,ST,Northeast,Casey Tp,341,19966.084,130,12845.89196,0.6434
429,5454,ST,Northeast,Chamberlain Tp,311,27381.70505,75,8377.051756,0.3059
430,5401,ST,Northeast,Coleman Tp,517,43972.33475,0,0,0
431,5449,ST,Northeast,Evanturel Tp,502,22044.23705,96,11984.76815,0.5437
432,5426,ST,Northeast,Harley Tp,524,22817.6757,106,11935.08568,0.5231
433,5414,ST,Northeast,Harris Tp,530,12308.30005,55,5956.259371,0.4839
434,5434,ST,Northeast,Hilliard Tp,215,22553.27335,130,14482.73324,0.6422
435,5421,ST,Northeast,Hudson Tp,530,22308.6394,67,8124.374225,0.3642
436,5442,ST,Northeast,James Tp,348,21102.767,19,1212.416398,0.0575
437,5424,ST,Northeast,Kerns Tp,330,22402.5393,159,19640.99777,0.8767
438,5462,ST,Northeast,Larder Lake Tp,745,56246.0401,0,0,0
439,5458,ST,Northeast,McGarry Tp,579,21157.1301,0,0,0
440,5466,ST,Northeast,Gauthier Tp,151,21740.2979,0,0,0
441,5456,ST,Northeast,Matachewan Tp,268,133327.9738,0,0,0
442,5446,ST,Northeast,Charlton and Dack M,686,22916.5177,93,12194.66268,0.5321
